ano,mes,mortos,ilesos,feridos_graves,feridos_leves,feridos
2007,01,499,14591,1907,5115,7022
2007,02,518,13529,1785,4300,6085
2007,03,457,13229,1724,4350,6074
2007,04,530,13893,1925,5015,6940
2007,05,579,13818,1851,4330,6181
2007,06,583,14295,1802,4316,6118
2007,07,618,15279,2151,4843,6994
2007,08,575,13726,1893,4552,6445
2007,09,536,13809,1985,4803,6788
2007,10,609,14771,2196,4867,7063
2007,11,517,14849,1894,4797,6691
2007,12,721,18504,2459,6441,8900
2008,01,601,16670,2119,5329,7448
2008,02,489,14325,1875,4350,6225
2008,03,521,15879,2073,4962,7035
2008,04,541,16623,2056,4762,6818
2008,05,567,16660,2044,4759,6803
2008,06,596,15092,1994,4579,6573
2008,07,549,16235,1869,4582,6451
2008,08,577,15929,1850,4792,6642
2008,09,600,16313,1962,4879,6841
2008,10,587,16804,2019,5307,7326
2008,11,577,16174,2182,5460,7642
2008,12,707,19914,2449,6374,8823
2009,01,556,17524,2062,5735,7797
2009,02,550,16266,1900,5145,7045
2009,03,564,15982,2010,4999,7009
2009,04,556,17197,1918,5002,6920
2009,05,553,17882,2043,5344,7387
2009,06,566,17966,2136,5087,7223
2009,07,650,19684,2303,5789,8092
2009,08,659,17936,2269,5604,7873
2009,09,603,18969,2141,5600,7741
2009,10,658,20254,2243,5899,8142
2009,11,616,18636,2138,5687,7825
2009,12,806,25023,2899,7560,10459
2010,01,652,21608,2265,6425,8690
2010,02,610,20170,1965,5738,7703
2010,03,644,21158,2152,5727,7879
2010,04,688,21004,2219,5970,8189
2010,05,780,22662,2402,6382,8784
2010,06,694,21063,2184,5687,7871
2010,07,747,22907,2463,6576,9039
2010,08,715,21527,2208,5732,7940
2010,09,721,22613,2353,6246,8599
2010,10,760,22747,2489,6491,8980
2010,11,701,22792,2369,6299,8668
2010,12,911,28026,2901,7974,10875
2011,01,760,25128,2664,7194,9858
2011,02,626,20820,2135,5857,7992
2011,03,740,23539,2425,6685,9110
2011,04,692,24230,2401,6766,9167
2011,05,749,22671,2400,6090,8490
2011,06,679,23504,2397,6330,8727
2011,07,790,25419,2652,6749,9401
2011,08,689,23130,2278,6106,8384
2011,09,677,21514,2291,6087,8378
2011,10,778,22508,2472,6486,8958
2011,11,639,21233,2188,5769,7957
2011,12,856,26466,2747,7655,10402
2012,01,654,23753,2215,6716,8931
2012,02,650,21261,2243,6268,8511
2012,03,690,22043,2281,6077,8358
2012,04,670,22619,2304,6431,8735
2012,05,690,21775,2530,6010,8540
2012,06,755,21950,2449,5944,8393
2012,07,744,23645,2477,6543,9020
2012,08,690,18889,2230,5767,7997
2012,09,726,21119,2358,6107,8465
2012,10,782,22872,2413,6604,9017
2012,11,717,21719,2134,6274,8408
2012,12,895,26306,2654,7432,10086
