ano,uf,mortos,ilesos,feridos_graves,feridos_leves,feridos
2007,AC,20,425,98,208,306
2007,AL,132,2014,473,768,1241
2007,AM,12,260,37,123,160
2007,AP,15,210,50,129,179
2007,BA,605,11229,1463,3657,5120
2007,CE,182,2814,629,1020,1649
2007,DF,67,1522,277,691,968
2007,ES,217,9237,1169,2189,3358
2007,GO,325,6927,1508,2746,4254
2007,MA,277,2541,639,1042,1681
2007,MG,1032,25130,4068,10496,14564
2007,MS,155,3301,555,1219,1774
2007,MT,223,3500,668,1174,1842
2007,PA,151,4767,522,1211,1733
2007,PB,164,3618,601,1297,1898
2007,PE,356,6487,997,1947,2944
2007,PI,148,2226,482,814,1296
2007,PR,333,8773,1265,4107,5372
2007,RJ,480,18022,1463,3600,5063
2007,RN,168,4562,495,1115,1610
2007,RO,85,2721,386,1268,1654
2007,RR,51,648,109,341,450
2007,RS,353,15792,1527,4259,5786
2007,SC,587,19661,2366,7424,9790
2007,SE,102,1698,241,479,720
2007,SP,402,15328,1273,4050,5323
2007,TO,97,877,207,351,558
2008,AC,13,499,92,218,310
2008,AL,102,2328,451,807,1258
2008,AM,11,305,38,150,188
2008,AP,13,261,60,150,210
2008,BA,660,12385,1477,3589,5066
2008,CE,193,3520,793,1120,1913
2008,DF,49,1426,224,739,963
2008,ES,208,9422,1238,2248,3486
2008,GO,391,8198,1523,3014,4537
2008,MA,246,2953,657,989,1646
2008,MG,1142,27921,4296,11027,15323
2008,MS,174,3945,633,1361,1994
2008,MT,233,4363,732,1376,2108
2008,PA,174,5180,564,1070,1634
2008,PB,185,4366,606,1524,2130
2008,PE,376,7358,1093,2156,3249
2008,PI,165,2412,575,822,1397
2008,PR,292,12962,1367,4090,5457
2008,RJ,487,21191,1461,3917,5378
2008,RN,139,4309,439,976,1415
2008,RO,117,3280,465,1498,1963
2008,RR,33,461,81,240,321
2008,RS,398,16685,1538,4398,5936
2008,SC,539,21073,2412,7681,10093
2008,SE,81,1809,244,537,781
2008,SP,394,16959,1223,4060,5283
2008,TO,97,1046,206,375,581
2009,AC,31,554,90,266,356
2009,AL,125,2358,553,936,1489
2009,AM,11,431,49,135,184
2009,AP,9,212,82,120,202
2009,BA,638,13085,1487,3739,5226
2009,CE,141,4133,655,1172,1827
2009,DF,43,1870,201,797,998
2009,ES,220,9938,1373,2304,3677
2009,GO,451,9395,1722,3494,5216
2009,MA,279,2931,687,1064,1751
2009,MG,1210,31640,4367,12144,16511
2009,MS,177,4218,612,1442,2054
2009,MT,226,5082,711,1540,2251
2009,PA,169,5482,572,1219,1791
2009,PB,202,4703,687,1627,2314
2009,PE,429,8224,1146,2497,3643
2009,PI,199,2739,550,873,1423
2009,PR,558,21640,2211,6325,8536
2009,RJ,469,22183,1445,4382,5827
2009,RN,140,4914,561,1122,1683
2009,RO,97,4617,604,1883,2487
2009,RR,19,370,66,280,346
2009,RS,379,17497,1469,4540,6009
2009,SC,563,24606,2560,8449,11009
2009,SE,77,1783,191,503,694
2009,SP,382,17528,1097,4075,5172
2009,TO,93,1186,314,523,837
2010,AC,14,672,124,250,374
2010,AL,153,3250,712,981,1693
2010,AM,18,605,67,161,228
2010,AP,12,237,80,97,177
2010,BA,813,14295,1654,4188,5842
2010,CE,276,5305,996,1600,2596
2010,DF,41,1981,202,789,991
2010,ES,315,11907,1363,2649,4012
2010,GO,515,12036,1963,3781,5744
2010,MA,298,3596,731,1139,1870
2010,MG,1344,35719,4386,12332,16718
2010,MS,197,5662,786,1676,2462
2010,MT,234,5259,668,1692,2360
2010,PA,202,7161,592,1458,2050
2010,PB,194,5096,649,1666,2315
2010,PE,475,11080,1281,2962,4243
2010,PI,208,3350,619,988,1607
2010,PR,723,30358,2691,8753,11444
2010,RJ,532,26181,1425,4873,6298
2010,RN,194,5868,640,1392,2032
2010,RO,123,5264,577,1778,2355
2010,RR,33,346,48,166,214
2010,RS,500,22982,1591,5528,7119
2010,SC,567,27721,2497,8787,11284
2010,SE,120,2097,202,694,896
2010,SP,407,18781,1109,4286,5395
2010,TO,115,1468,317,581,898
2011,AC,23,695,182,310,492
2011,AL,156,3116,791,1052,1843
2011,AM,34,509,75,195,270
2011,AP,19,346,112,196,308
2011,BA,779,15421,1658,4719,6377
2011,CE,227,5452,919,1503,2422
2011,DF,63,2356,254,958,1212
2011,ES,317,11863,1413,2664,4077
2011,GO,510,11636,1837,3674,5511
2011,MA,311,4111,849,1288,2137
2011,MG,1304,35833,4449,12083,16532
2011,MS,228,5334,761,1665,2426
2011,MT,260,5600,633,1598,2231
2011,PA,181,7317,755,1449,2204
2011,PB,176,5148,751,1678,2429
2011,PE,474,12213,1288,3073,4361
2011,PI,236,3525,677,1065,1742
2011,PR,740,33572,2839,9615,12454
2011,RJ,559,29019,1550,5285,6835
